Ticks,GreenPatches,K,TotalBM,k.i,Payoffs,beta.i,highMinCut,lowMinCut
1424,1241,10.13,13412.5,15.6,4.095,0.601279372243403,70,22
1425,1223,10.13,13439.5,15.41,6.51,0.598444255828839,69,23
1426,1200,10.13,13284.5,15.43,6.055,0.598444255828839,69,23
1427,1203,10.13,12940.5,15.55,8.185,0.606236384213143,70,22
1428,1196,10.13,12692.5,15.58,7.385,0.606236384213142,69,22
1429,1214,10.13,12867,15.51,4.73,0.602825775739933,69,22
1430,1209,10.13,12855.5,15.43,6.65,0.602825775739933,68,22
1431,1191,10.13,12509.5,15.34,9.565,0.602525529620215,68,23
1432,1248,10.13,13199,15.3,1.22,0.602525529620215,69,23
1433,1287,10.13,13759.5,15.45,3.74,0.60195003756157,70,23
1434,1308,10.13,14198.5,15.3,5.235,0.598930316838256,70,23
1435,1302,10.13,14629.5,15.35,4.925,0.59621084223466,70,22
1436,1324,10.13,14844,15.49,6.675,0.596210842234661,71,22
1437,1337,10.13,14960,15.39,7.5,0.596511088354378,70,22
1438,1333,10.13,15263.5,15.55,5.715,0.599921696827588,71,21
1439,1290,10.13,15281,15.46,6.44,0.600221942947306,70,22
1440,1265,10.13,15034.5,15.6,7.49,0.600522189067024,71,22
1441,1242,10.13,14276.5,15.78,10.405,0.603357305481589,71,21
1442,1264,10.13,14110.5,15.73,5.8,0.603057059361871,71,21
1443,1255,10.13,13797.5,15.65,9.37,0.603002348751089,70,20
1444,1238,10.13,13795,15.62,6.055,0.602702102631371,70,20
1445,1235,10.13,13835.5,15.67,5.14,0.602401856511653,70,20
1446,1214,10.13,13521,15.49,7.725,0.602347145900872,69,21
1447,1201,10.13,13507,15.52,3.38,0.602347145900872,68,21
1448,1187,10.13,13131.5,15.45,6.06,0.602046899781154,69,22
1449,1200,10.13,12918.5,15.4,4.73,0.605066620504468,69,22
1450,1204,10.13,12772.5,15.24,5.205,0.605366866624186,68,22
1451,1221,10.13,12996.5,15.59,4.275,0.605366866624186,70,22
1452,1246,10.13,13295,15.57,4.525,0.605312156013405,69,21
1453,1216,10.13,13565.5,15.69,3.56,0.60588764807205,70,21
1454,1234,10.13,13567,15.64,4.77,0.605887648072049,70,21
1455,1229,10.13,13544.5,15.81,5.59,0.608722764486614,71,20
1456,1284,10.13,13825.5,15.81,4.4,0.611742485209928,71,20
1457,1268,10.13,14160.5,15.82,4.525,0.611742485209928,71,19
1458,1254,10.13,14024,15.91,7.64,0.614577601624492,71,18
1459,1236,10.13,14041.5,16.25,6.395,0.617687963977984,72,18
1460,1212,10.13,13728,16.08,6.535,0.617633253367202,71,19
1461,1234,10.13,13687,16.22,4.3,0.617578542756421,71,17
1462,1229,10.13,13475,16.47,6.27,0.620688905109913,72,17
1463,1222,10.13,13505.5,16.5,4.735,0.620989151229631,72,16
1464,1222,10.13,13475.5,16.46,5.91,0.620989151229631,72,16
1465,1252,10.13,13720,16.38,4.47,0.62098915122963,72,16
1466,1222,10.13,13761,16.37,4.98,0.618269676626035,73,17
1467,1194,10.13,13632,16.31,4.465,0.620989151229631,72,17
1468,1216,10.13,13509,16.25,4.825,0.618154034815066,72,17
1469,1203,10.13,13118.5,16.16,7.555,0.618154034815066,71,18
1470,1204,10.13,13038.5,16.21,5.02,0.618154034815066,71,17
1471,1167,10.13,12672,16.23,7.79,0.618879454678971,72,18
1472,1190,10.13,12843.5,16.4,2.565,0.618579208559253,73,17
1473,1218,10.13,12992,16.26,4.36,0.615468846205762,73,18
1474,1265,10.13,13357,16.07,3.43,0.612633729791197,72,19
1475,1306,10.13,14120,15.95,1.34,0.612633729791197,71,20
1476,1283,10.13,14363.5,15.87,6.42,0.612633729791197,71,20
1477,1251,10.13,14287.5,15.85,7.56,0.609798613376633,71,21
1478,1236,10.13,14291,15.81,4.555,0.609498367256915,73,22
1479,1217,10.13,13896,15.8,6.765,0.604425713476207,73,22
1480,1191,10.13,13240.5,15.72,8.905,0.604725959595925,72,22
1481,1220,10.13,13134.5,15.71,5.77,0.604425713476207,71,21
1482,1211,10.13,13112,15.64,4.85,0.601015105002997,72,22
1483,1206,10.13,13151,15.58,5.285,0.601315351122716,71,22
1484,1218,10.13,13139,15.7,6.27,0.601795235477684,71,22
1485,1223,10.13,13398,15.52,3.275,0.596722581696976,70,23
1486,1198,10.13,13029,15.36,8.86,0.596722581696976,69,23
1487,1182,10.13,12878,15.43,5.31,0.599502987500759,70,22
1488,1178,10.13,12731,15.31,5.355,0.599077813756572,69,22
1489,1189,10.13,12681,15.32,5.685,0.599077813756572,69,22
1490,1199,10.13,12733,15.44,5.75,0.602338103915324,70,22
1491,1249,10.13,13193,15.29,3.06,0.602338103915323,70,23
1492,1221,10.13,13382.5,15.58,4.7,0.605748712388533,71,21
1493,1238,10.13,13557,15.51,4.74,0.605694001777752,70,21
1494,1224,10.13,13670.5,15.74,4.175,0.605694001777752,71,21
1495,1230,10.13,13524,15.75,7.715,0.608804364131243,71,21
1496,1228,10.13,13595,15.71,4.895,0.608804364131243,71,21
1497,1237,10.13,13672.5,15.76,5.12,0.605969247716679,71,20
1498,1232,10.13,13550,15.59,6.825,0.605914537105898,70,21
1499,1219,10.13,13423.5,15.56,6.27,0.602804174752406,69,21
1500,1233,10.13,13416,15.52,4.54,0.603049710261343,70,22
1501,1242,10.13,13525,15.51,5.515,0.600214593846779,70,23
1502,1253,10.13,13627.5,15.76,6.04,0.602452131212922,72,23
1503,1262,10.13,13911.5,15.62,4.005,0.60275237733264,72,24
1504,1276,10.13,14118.5,15.68,4.465,0.602506841823703,74,25
1505,1254,10.13,14066,15.58,6.955,0.602506841823703,74,24
1506,1239,10.13,14043,15.54,5.9,0.602807087943421,73,23
1507,1252,10.13,13922,15.63,7.19,0.602231595884776,73,22
1508,1290,10.13,14452,15.44,2.27,0.601931349765059,72,23
1509,1310,10.13,14817.5,15.55,3.715,0.607004003545766,72,22
1510,1298,10.13,14751,15.35,7.845,0.603593395072557,71,23
1511,1261,10.13,14661.5,15.23,6.93,0.598820987411567,70,24
1512,1278,10.13,14232,15.29,11.005,0.598520741291849,70,24
1513,1325,10.13,14478.5,15.42,5.43,0.601931349765059,70,23
1514,1352,10.13,15004.5,15.6,4.08,0.607004003545766,72,23
1515,1360,10.13,15638,15.6,4.21,0.606703757426048,71,21
1516,1360,10.13,15857,15.69,6.12,0.609238627720895,71,21
1517,1352,10.13,15679.5,15.53,9.215,0.605828019247685,70,22
1518,1350,10.13,15938.5,15.74,3.745,0.610845962417612,72,21
1519,1315,10.13,15688.5,15.66,8.42,0.607435353944403,71,22
