sheep.1,wolves.1,sheep.2,wolves.2,sheep.3,wolves.3,sheep.4,wolves.4,sheep.5,wolves.5,sheep.6,wolves.6,sheep.7,wolves.7,sheep.8,wolves.8,sheep.9,wolves.9,sheep.10,wolves.10
0,79,0,5445,0,1359,,,0,0,,,0,2330,0,238,0,189,,
0,76,0,5511,0,1326,,,0,0,,,0,2293,0,232,0,168,,
0,71,0,5544,0,1292,,,0,0,,,0,2233,0,214,0,164,,
0,61,0,5576,0,1270,,,0,0,,,0,2163,0,204,0,156,,
0,65,0,5571,0,1242,,,0,0,,,0,2101,0,200,0,146,,
0,64,0,5563,0,1205,,,0,0,,,0,2055,0,199,0,131,,
0,64,0,5575,0,1176,,,0,0,,,0,2003,0,190,0,124,,
0,62,0,5529,0,1144,,,0,0,,,0,1932,0,179,0,112,,
0,58,0,5578,0,1131,,,0,0,,,0,1865,0,171,0,110,,
0,54,0,5564,0,1096,,,0,0,,,0,1782,0,170,0,109,,
0,49,0,5545,0,1059,,,0,0,,,0,1737,0,153,0,106,,
0,46,0,5487,0,1022,,,0,0,,,0,1661,0,152,0,106,,
0,46,0,5477,0,979,,,0,0,,,0,1639,0,147,0,105,,
0,43,0,5447,0,941,,,0,0,,,0,1577,0,139,0,100,,
0,41,0,5424,0,897,,,0,0,,,0,1524,0,133,0,99,,
0,34,0,5361,0,886,,,0,0,,,0,1471,0,121,0,92,,
0,35,0,5276,0,826,,,0,0,,,0,1408,0,114,0,83,,
0,29,0,5237,0,823,,,0,0,,,0,1350,0,112,0,75,,
0,29,0,5191,0,800,,,0,0,,,0,1319,0,114,0,69,,
0,24,0,5144,0,764,,,0,0,,,0,1295,0,114,0,64,,
0,22,0,5104,0,747,,,0,0,,,0,1274,0,114,0,60,,
0,21,0,4990,0,732,,,0,0,,,0,1251,0,113,0,58,,
0,21,0,4888,0,715,,,0,0,,,0,1198,0,107,0,54,,
0,21,0,4789,0,692,,,0,0,,,0,1175,0,105,0,45,,
0,18,0,4722,0,664,,,0,0,,,0,1120,0,99,0,45,,
0,17,0,4664,0,628,,,0,0,,,0,1093,0,97,0,43,,
0,19,0,4616,0,600,,,0,0,,,0,1073,0,92,0,40,,
0,16,0,4456,0,555,,,0,0,,,0,1047,0,85,0,37,,
0,16,0,4405,0,547,,,0,0,,,0,1004,0,81,0,32,,
0,16,0,4270,0,525,,,0,0,,,0,956,0,77,0,33,,
0,17,0,4185,0,505,,,0,0,,,0,912,0,70,0,32,,
0,16,0,4094,0,494,,,0,0,,,0,891,0,62,0,30,,
0,16,0,3978,0,489,,,0,0,,,0,857,0,54,0,27,,
0,17,0,3833,0,480,,,0,0,,,0,832,0,46,0,27,,
0,14,0,3733,0,445,,,0,0,,,0,776,0,44,0,26,,
0,14,0,3616,0,419,,,0,0,,,0,752,0,37,0,25,,
0,14,0,3517,0,393,,,0,0,,,0,731,0,28,0,21,,
0,14,0,3422,0,385,,,0,0,,,0,703,0,19,0,20,,
0,14,0,3344,0,364,,,0,0,,,0,666,0,19,0,24,,
0,11,0,3254,0,343,,,0,0,,,0,646,0,20,0,25,,
0,11,0,3151,0,331,,,0,0,,,0,627,0,19,0,20,,
0,8,0,3077,0,320,,,0,0,,,0,606,0,20,0,20,,
0,8,0,2972,0,295,,,0,0,,,0,599,0,14,0,23,,
0,8,0,2881,0,286,,,0,0,,,0,588,0,13,0,24,,
0,9,0,2777,0,269,,,0,0,,,0,550,0,12,0,22,,
0,9,0,2692,0,255,,,0,0,,,0,520,0,12,0,23,,
0,6,0,2569,0,250,,,0,0,,,0,507,0,13,0,24,,
0,5,0,2489,0,240,,,0,0,,,0,477,0,10,0,25,,
0,5,0,2398,0,230,,,0,0,,,0,454,0,8,0,27,,
0,5,0,2304,0,226,,,0,0,,,0,447,0,7,0,29,,
0,4,0,2242,0,220,,,0,0,,,0,419,0,8,0,31,,
0,4,0,2157,0,212,,,0,0,,,0,410,0,6,0,33,,
0,5,0,2082,0,192,,,0,0,,,0,384,0,4,0,34,,
0,6,0,1978,0,182,,,0,0,,,0,363,0,4,0,32,,
0,7,0,1853,0,172,,,0,0,,,0,348,0,4,0,30,,
0,8,0,1812,0,152,,,0,0,,,0,332,0,4,0,23,,
0,9,0,1721,0,142,,,0,0,,,0,317,0,4,0,23,,
0,5,0,1678,0,138,,,0,0,,,0,295,0,4,0,18,,
0,4,0,1619,0,118,,,0,0,,,0,271,0,5,0,13,,
0,3,0,1561,0,104,,,0,0,,,0,258,0,4,0,12,,
0,3,0,1482,0,98,,,0,0,,,0,233,0,4,0,9,,
0,3,0,1433,0,93,,,0,0,,,0,235,0,4,0,9,,
0,3,0,1360,0,90,,,0,0,,,0,215,0,4,0,8,,
0,3,0,1308,0,84,,,0,0,,,0,201,0,2,0,9,,
0,2,0,1254,0,75,,,0,0,,,0,210,0,2,0,10,,
0,2,0,1194,0,69,,,0,0,,,0,203,0,2,0,8,,
0,2,0,1146,0,63,,,0,0,,,0,203,0,2,0,8,,
